# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Count (DOWNSTREAM)	Count (FRAME_SHIFT)	Count (INTRON)	Count (UPSTREAM)
ada	ada	mRNA	0	0	50	1	0	1065	0	0	1065	0	0	0	0	0	50	0	1	0	0
add	add	mRNA	0	0	50	0	0	1002	0	0	1002	0	0	0	0	0	50	0	0	0	0
ade	ade	mRNA	0	0	50	0	0	1767	0	0	1767	0	0	0	0	0	50	0	0	0	0
adhE	adhE	mRNA	0	0	50	0	0	2676	0	0	2676	0	0	0	0	0	50	0	0	0	0
adhP	adhP	mRNA	0	0	50	0	0	1011	0	0	1011	0	0	0	0	0	50	0	0	0	0
adiA	adiA	mRNA	0	0	50	0	0	2268	0	0	2268	0	0	0	0	0	50	0	0	0	0
adiC	adiC	mRNA	0	0	50	0	0	1338	0	0	1338	0	0	0	0	0	50	0	0	0	0
adiY	adiY	mRNA	0	0	50	0	0	762	0	0	762	0	0	0	0	0	50	0	0	0	0
adk	adk	mRNA	0	0	50	0	0	645	0	0	645	0	0	0	0	0	50	0	0	0	0
adrA	adrA	mRNA	0	0	50	0	0	1116	0	0	1116	0	0	0	0	0	50	0	0	0	0
adrB	adrB	mRNA	0	0	50	0	0	1599	0	0	1599	0	0	0	0	0	50	0	0	0	0
aegA	aegA	mRNA	0	0	50	0	0	1980	0	0	1980	0	0	0	0	0	50	0	0	0	0
aer	aer	mRNA	0	0	50	0	0	1521	0	0	1521	0	0	0	0	0	50	0	0	0	0
aes	aes	mRNA	0	0	50	0	0	960	0	0	960	0	0	0	0	0	50	0	0	0	0
afuC	afuC	mRNA	0	0	50	0	0	1047	0	0	1047	0	0	0	0	0	50	0	0	0	0
agaB	agaB	mRNA	0	0	50	0	0	477	0	0	477	0	0	0	0	0	50	0	0	0	0
agaC	agaC	mRNA	0	0	50	0	0	804	0	0	804	0	0	0	0	0	50	0	0	0	0
agaD	agaD	mRNA	0	0	50	0	0	792	0	0	792	0	0	0	0	0	50	0	0	0	0
agaI	agaI	mRNA	0	0	50	0	0	756	0	0	756	0	0	0	0	0	50	0	0	0	0
agaR	agaR	mRNA	0	0	50	0	0	810	0	0	810	0	0	0	0	0	50	0	0	0	0
agaS	agaS	mRNA	0	0	50	1	0	1155	0	0	1155	0	0	0	0	0	50	0	1	0	0
agaV	agaV	mRNA	0	0	50	0	0	474	0	0	474	0	0	0	0	0	50	0	0	0	0
agp	agp	mRNA	0	0	50	0	0	1242	0	0	1242	0	0	0	0	0	50	0	0	0	0
ahpC	ahpC	mRNA	0	0	50	0	0	564	0	0	564	0	0	0	0	0	50	0	0	0	0
ahpF	ahpF	mRNA	0	0	50	0	0	1566	0	0	1566	0	0	0	0	0	50	0	0	0	0
aidB	aidB	mRNA	0	0	50	0	0	1626	0	0	1626	0	0	0	0	0	50	0	0	0	0
ais	ais	mRNA	0	0	50	0	0	603	0	0	603	0	0	0	0	0	50	0	0	0	0
alaA	alaA	mRNA	0	0	50	0	0	1218	0	0	1218	0	0	0	0	0	50	0	0	0	0
alaC	alaC	mRNA	0	0	50	0	0	1239	0	0	1239	0	0	0	0	0	50	0	0	0	0
alaS	alaS	mRNA	0	0	50	0	0	2631	0	0	2631	0	0	0	0	0	50	0	0	0	0
alaT	alaT	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
alaU	alaU	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
alaV	alaV	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
alaW	alaW	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
alaX	alaX	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
aldA	aldA	mRNA	0	0	50	0	0	1440	0	0	1440	0	0	0	0	0	50	0	0	0	0
aldB	aldB	mRNA	0	0	50	0	0	1539	0	0	1539	0	0	0	0	0	50	0	0	0	0
alkA	alkA	mRNA	0	0	50	0	0	849	0	0	849	0	0	0	0	0	50	0	0	0	0
alkB	alkB	mRNA	0	0	50	0	0	651	0	0	651	0	0	0	1	0	50	0	0	0	1
allA	allA	mRNA	0	0	50	0	0	483	0	0	483	0	0	0	0	0	50	0	0	0	0
allB	allB	mRNA	0	0	50	0	0	1362	0	0	1362	0	0	0	0	0	50	0	0	0	0
allC	allC	mRNA	0	0	50	0	0	1236	0	0	1236	0	0	0	0	0	50	0	0	0	0
allD	allD	mRNA	0	0	50	0	0	1050	0	0	1050	0	0	0	0	0	50	0	0	0	0
allR	allR	mRNA	0	0	50	0	0	816	0	0	816	0	0	0	0	0	50	0	0	0	0
allS	allS	mRNA	0	0	50	0	0	927	0	0	927	0	0	0	0	0	50	0	0	0	0
alpA	alpA	mRNA	0	0	50	0	0	213	0	0	213	0	0	0	0	0	50	0	0	0	0
alr	alr	mRNA	0	0	50	1	0	1080	0	0	1080	0	0	0	0	0	50	0	1	0	0
alsA	alsA	mRNA	0	0	50	0	0	1533	0	0	1533	0	0	0	0	0	50	0	0	0	0
alsB	alsB	mRNA	0	0	50	0	0	936	0	0	936	0	0	0	0	0	50	0	0	0	0
alsC	alsC	mRNA	0	0	50	0	0	981	0	0	981	0	0	0	0	0	50	0	0	0	0
alsE	alsE	mRNA	0	0	50	0	0	696	0	0	696	0	0	0	0	0	50	0	0	0	0
alsK	alsK	mRNA	0	0	50	1	0	930	0	0	930	0	0	0	0	0	50	0	1	0	0
alx	alx	mRNA	0	0	50	0	0	966	0	0	966	0	0	0	0	0	50	0	0	0	0
amiA	amiA	mRNA	0	0	50	0	0	870	0	0	870	0	0	0	0	0	50	0	0	0	0
amiB	amiB	mRNA	0	0	50	0	0	1338	0	0	1338	0	0	0	0	0	50	0	0	0	0
amiC	amiC	mRNA	0	0	50	0	0	1254	0	0	1254	0	0	0	0	0	50	0	0	0	0
amiD	amiD	mRNA	0	0	50	0	0	831	0	0	831	0	0	0	0	0	50	0	0	0	0
amn	amn	mRNA	0	0	50	0	0	1455	0	0	1455	0	0	0	0	0	50	0	0	0	0
ampC	ampC	mRNA	0	0	50	0	0	1134	0	0	1134	0	0	0	0	0	50	0	0	0	0
ampD	ampD	mRNA	0	0	50	0	0	552	0	0	552	0	0	0	0	0	50	0	0	0	0
ampE	ampE	mRNA	0	0	50	0	0	855	0	0	855	0	0	0	0	0	50	0	0	0	0
ampG	ampG	mRNA	0	0	50	0	0	1476	0	0	1476	0	0	0	0	0	50	0	0	0	0
ampH	ampH	mRNA	0	0	50	0	0	1158	0	0	1158	0	0	0	0	0	50	0	0	0	0
amtB	amtB	mRNA	0	0	50	0	0	1287	0	0	1287	0	0	0	0	0	50	0	0	0	0
amyA	amyA	mRNA	0	0	50	0	0	1488	0	0	1488	0	0	0	0	0	50	0	0	0	0
anmK	anmK	mRNA	0	0	50	0	0	1110	0	0	1110	0	0	0	0	0	50	0	0	0	0
ansA	ansA	mRNA	0	0	50	0	0	1017	0	0	1017	0	0	0	0	0	50	0	0	0	0
ansB	ansB	mRNA	0	0	50	0	0	1047	0	0	1047	0	0	0	0	0	50	0	0	0	0
ansP	ansP	mRNA	0	0	50	0	0	1500	0	0	1500	0	0	0	0	0	50	0	0	0	0
apaG	apaG	mRNA	0	0	50	0	0	378	0	0	378	0	0	0	0	0	50	0	0	0	0
apaH	apaH	mRNA	0	0	50	0	0	843	0	0	843	0	0	0	0	0	50	0	0	0	0
apbE	apbE	mRNA	0	0	50	0	0	1056	0	0	1056	0	0	0	0	0	50	0	0	0	0
aphA	aphA	mRNA	0	0	50	0	0	714	0	0	714	0	0	0	0	0	50	0	0	0	0
appA	appA	mRNA	0	0	50	0	0	1299	0	0	1299	0	0	0	0	0	50	0	0	0	0
appB	appB	mRNA	0	0	50	0	0	1137	0	0	1137	0	0	0	0	0	50	0	0	0	0
appC	appC	mRNA	0	0	50	0	0	1545	0	0	1545	0	0	0	0	0	50	0	0	0	0
appY	appY	mRNA	0	0	50	0	0	750	0	0	750	0	0	0	0	0	50	0	0	0	0
apt	apt	mRNA	0	0	50	0	0	552	0	0	552	0	0	0	0	0	50	0	0	0	0
aqpZ	aqpZ	mRNA	0	0	50	0	0	696	0	0	696	0	0	0	0	0	50	0	0	0	0
araA	araA	mRNA	0	0	50	0	0	1503	0	0	1503	0	0	0	0	0	50	0	0	0	0
araB	araB	mRNA	0	0	50	0	0	1701	0	0	1701	0	0	0	0	0	50	0	0	0	0
araC	araC	mRNA	0	0	50	0	0	879	0	0	879	0	0	0	0	0	50	0	0	0	0
araD	araD	mRNA	0	0	50	0	0	696	0	0	696	0	0	0	0	0	50	0	0	0	0
araE	araE	mRNA	0	0	50	0	0	1419	0	0	1419	0	0	0	0	0	50	0	0	0	0
araF	araF	mRNA	0	0	50	0	0	990	0	0	990	0	0	0	0	0	50	0	0	0	0
araG	araG	mRNA	0	0	50	0	0	1515	0	0	1515	0	0	0	0	0	50	0	0	0	0
araH	araH	mRNA	0	0	50	0	0	987	0	0	987	0	0	0	0	0	50	0	0	0	0
araJ	araJ	mRNA	0	0	50	0	0	1185	0	0	1185	0	0	0	0	0	50	0	0	0	0
arcA	arcA	mRNA	0	0	50	0	0	717	0	0	717	0	0	0	0	0	50	0	0	0	0
arcB	arcB	mRNA	0	0	50	0	0	2337	0	0	2337	0	0	0	0	0	50	0	0	0	0
arcZ	arcZ	ncRNA	0	0	50	0	0	121	0	0	121	0	0	0	0	0	50	0	0	0	0
argA	argA	mRNA	0	0	50	0	0	1332	0	0	1332	0	0	0	0	0	50	0	0	0	0
argB	argB	mRNA	0	0	50	0	0	777	0	0	777	0	0	0	0	0	50	0	0	0	0
argC	argC	mRNA	0	0	50	0	0	1005	0	0	1005	0	0	0	0	0	50	0	0	0	0
argD	argD	mRNA	0	0	50	0	0	1221	0	0	1221	0	0	0	0	0	50	0	0	0	0
argE	argE	mRNA	0	0	50	0	0	1152	0	0	1152	0	0	0	0	0	50	0	0	0	0
argF	argF	mRNA	0	0	50	0	0	1005	0	0	1005	0	0	0	0	0	50	0	0	0	0
argG	argG	mRNA	0	0	50	0	0	1344	0	0	1344	0	0	0	0	0	50	0	0	0	0
argH	argH	mRNA	0	0	50	0	0	1374	0	0	1374	0	0	0	0	0	50	0	0	0	0
argI	argI	mRNA	0	0	50	0	0	1005	0	0	1005	0	0	0	0	0	50	0	0	0	0
argK	argK	mRNA	0	0	50	0	0	996	0	0	996	0	0	0	0	0	50	0	0	0	0
argO	argO	mRNA	0	0	50	0	0	636	0	0	636	0	0	0	0	0	50	0	0	0	0
argP	argP	mRNA	0	0	50	1	0	894	0	0	894	0	0	0	0	0	50	0	1	0	0
argQ	argQ	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
argR	argR	mRNA	0	0	50	0	0	471	0	0	471	0	0	0	0	0	50	0	0	0	0
argS	argS	mRNA	0	0	50	0	0	1734	0	0	1734	0	0	0	0	0	50	0	0	0	0
argT	argT	mRNA	0	0	50	0	0	783	0	0	783	0	0	0	0	0	50	0	0	0	0
argU	argU	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
argV	argV	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
argW	argW	tRNA	0	0	50	0	0	75	0	0	75	0	0	0	0	0	50	0	0	0	0
argX	argX	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
argY	argY	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
argZ	argZ	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
ariR	ariR	mRNA	0	0	50	0	0	267	0	0	267	0	0	0	0	0	50	0	0	0	0
arnA	arnA	mRNA	0	0	50	1	0	1983	0	0	1983	0	0	0	0	0	50	0	1	0	0
arnB	arnB	mRNA	0	0	50	0	0	1140	0	0	1140	0	0	0	0	0	50	0	0	0	0
arnC	arnC	mRNA	0	0	50	0	0	969	0	0	969	0	0	0	0	0	50	0	0	0	0
arnD	arnD	mRNA	0	0	50	0	0	891	0	0	891	0	0	0	0	0	50	0	0	0	0
arnE	arnE	mRNA	0	0	50	0	0	336	0	0	336	0	0	0	0	0	50	0	0	0	0
arnF	arnF	mRNA	0	0	50	0	0	387	0	0	387	0	0	0	0	0	50	0	0	0	0
arnT	arnT	mRNA	0	0	50	0	0	1653	0	0	1653	0	0	0	0	0	50	0	0	0	0
aroA	aroA	mRNA	0	0	50	0	0	1284	0	0	1284	0	0	0	0	0	50	0	0	0	0
aroB	aroB	mRNA	0	0	50	0	0	1089	0	0	1089	0	0	0	0	0	50	0	0	0	0
aroC	aroC	mRNA	0	0	50	0	0	1086	0	0	1086	0	0	0	0	0	50	0	0	0	0
aroD	aroD	mRNA	0	0	50	0	0	759	0	0	759	0	0	0	0	0	50	0	0	0	0
aroE	aroE	mRNA	0	0	50	0	0	819	0	0	819	0	0	0	0	0	50	0	0	0	0
aroF	aroF	mRNA	0	0	50	0	0	1071	0	0	1071	0	0	0	0	0	50	0	0	0	0
aroG	aroG	mRNA	0	0	50	0	0	1053	0	0	1053	0	0	0	0	0	50	0	0	0	0
aroH	aroH	mRNA	0	0	50	0	0	1047	0	0	1047	0	0	0	0	0	50	0	0	0	0
aroK	aroK	mRNA	0	0	50	0	0	522	0	0	522	0	0	0	0	0	50	0	0	0	0
aroL	aroL	mRNA	0	0	50	0	0	525	0	0	525	0	0	0	0	0	50	0	0	0	0
aroM	aroM	mRNA	0	0	50	0	0	678	0	0	678	0	0	0	0	0	50	0	0	0	0
aroP	aroP	mRNA	0	0	50	0	0	1374	0	0	1374	0	0	0	0	0	50	0	0	0	0
arpA	arpA	mRNA	0	0	50	0	0	2187	0	0	2187	0	0	0	0	0	50	0	0	0	0
arrD	arrD	mRNA	0	0	50	0	0	498	0	0	498	0	0	0	0	0	50	0	0	0	0
arrQ	arrQ	mRNA	0	0	50	0	0	534	0	0	534	0	0	0	0	0	50	0	0	0	0
arsB	arsB	mRNA	0	0	50	0	0	1290	0	0	1290	0	0	0	0	0	50	0	0	0	0
arsC	arsC	mRNA	0	0	50	0	0	426	0	0	426	0	0	0	0	0	50	0	0	0	0
arsR	arsR	mRNA	0	0	50	0	0	354	0	0	354	0	0	0	0	0	50	0	0	0	0
artI	artI	mRNA	0	0	50	0	0	732	0	0	732	0	0	0	0	0	50	0	0	0	0
artJ	artJ	mRNA	0	0	50	0	0	732	0	0	732	0	0	0	0	0	50	0	0	0	0
artM	artM	mRNA	0	0	50	0	0	669	0	0	669	0	0	0	0	0	50	0	0	0	0
artP	artP	mRNA	0	0	50	0	0	729	0	0	729	0	0	0	0	0	50	0	0	0	0
artQ	artQ	mRNA	0	0	50	0	0	717	0	0	717	0	0	0	0	0	50	0	0	0	0
ascB	ascB	mRNA	2	0	50	0	0	1425	0	0	1425	0	0	0	0	0	50	2	0	0	0
ascF	ascF	mRNA	0	0	50	0	0	1458	0	0	1458	0	0	0	0	0	50	0	0	0	0
ascG	ascG	mRNA	0	0	50	0	0	1014	0	0	1014	0	0	0	0	0	50	0	0	0	0
asd	asd	mRNA	0	0	50	0	0	1104	0	0	1104	0	0	0	0	0	50	0	0	0	0
aslA	aslA	mRNA	0	0	50	0	0	1656	0	0	1656	0	0	0	0	0	50	0	0	0	0
aslB	aslB	mRNA	0	0	50	0	0	1236	0	0	1236	0	0	0	0	0	50	0	0	0	0
asmA	asmA	mRNA	0	0	50	0	0	1854	0	0	1854	0	0	0	0	0	50	0	0	0	0
asnA	asnA	mRNA	0	0	50	0	0	993	0	0	993	0	0	0	0	0	50	0	0	0	0
asnB	asnB	mRNA	0	0	50	0	0	1665	0	0	1665	0	0	0	0	0	50	0	0	0	0
asnC	asnC	mRNA	0	0	50	0	0	459	0	0	459	0	0	0	0	0	50	0	0	0	0
asnS	asnS	mRNA	0	0	50	0	0	1401	0	0	1401	0	0	0	0	0	50	0	0	0	0
asnT	asnT	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
asnU	asnU	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
asnV	asnV	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
asnW	asnW	tRNA	0	0	50	0	0	76	0	0	76	0	0	0	0	0	50	0	0	0	0
aspA	aspA	mRNA	0	0	50	0	0	1437	0	0	1437	0	0	0	0	0	50	0	0	0	0
aspC	aspC	mRNA	0	0	50	0	0	1191	0	0	1191	0	0	0	0	0	50	0	0	0	0
aspS	aspS	mRNA	0	0	50	0	0	1773	0	0	1773	0	0	0	0	0	50	0	0	0	0
aspT	aspT	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
aspU	aspU	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
aspV	aspV	tRNA	0	0	50	0	0	77	0	0	77	0	0	0	0	0	50	0	0	0	0
asr	asr	mRNA	0	0	50	0	0	309	0	0	309	0	0	0	0	0	50	0	0	0	0
astA	astA	mRNA	0	0	50	0	0	1035	0	0	1035	0	0	0	0	0	50	0	0	0	0
astB	astB	mRNA	0	0	50	0	0	1344	0	0	1344	0	0	0	0	0	50	0	0	0	0
astC	astC	mRNA	0	0	50	0	0	1221	0	0	1221	0	0	0	0	0	50	0	0	0	0
astD	astD	mRNA	0	0	50	1	0	1479	0	0	1479	0	0	0	0	0	50	0	1	0	0
astE	astE	mRNA	0	0	50	0	0	969	0	0	969	0	0	0	0	0	50	0	0	0	0
atoA	atoA	mRNA	0	0	50	0	0	651	0	0	651	0	0	0	0	0	50	0	0	0	0
atoB	atoB	mRNA	0	0	50	0	0	1185	0	0	1185	0	0	0	0	0	50	0	0	0	0
atoC	atoC	mRNA	0	0	50	0	0	1386	0	0	1386	0	0	0	0	0	50	0	0	0	0
atoD	atoD	mRNA	0	0	50	0	0	663	0	0	663	0	0	0	0	0	50	0	0	0	0
atoE	atoE	mRNA	0	0	50	0	0	1323	0	0	1323	0	0	0	0	0	50	0	0	0	0
atoS	atoS	mRNA	0	0	50	0	0	1827	0	0	1827	0	0	0	0	0	50	0	0	0	0
atpA	atpA	mRNA	0	0	50	0	0	1542	0	0	1542	0	0	0	0	0	50	0	0	0	0
atpB	atpB	mRNA	0	0	50	0	0	816	0	0	816	0	0	0	0	0	50	0	0	0	0
atpC	atpC	mRNA	0	0	50	0	0	420	0	0	420	0	0	0	0	0	50	0	0	0	0
atpD	atpD	mRNA	0	0	50	0	0	1383	0	0	1383	0	0	0	0	0	50	0	0	0	0
atpE	atpE	mRNA	0	0	50	0	0	240	0	0	240	0	0	0	0	0	50	0	0	0	0
atpF	atpF	mRNA	0	0	50	0	0	471	0	0	471	0	0	0	0	0	50	0	0	0	0
atpG	atpG	mRNA	0	0	50	0	0	864	0	0	864	0	0	0	0	0	50	0	0	0	0
atpH	atpH	mRNA	0	0	50	0	0	534	0	0	534	0	0	0	0	0	50	0	0	0	0
atpI	atpI	mRNA	0	0	50	0	0	381	0	0	381	0	0	0	0	0	50	0	0	0	0
avtA	avtA	mRNA	0	0	50	0	0	1254	0	0	1254	0	0	0	0	0	50	0	0	0	0
azoR	azoR	mRNA	0	0	50	0	0	606	0	0	606	0	0	0	0	0	50	0	0	0	0
azuC	azuC	mRNA	0	0	50	0	0	87	0	0	87	0	0	0	0	0	50	0	0	0	0
bacA	bacA	mRNA	0	0	50	0	0	822	0	0	822	0	0	0	0	0	50	0	0	0	0
baeR	baeR	mRNA	0	0	50	0	0	723	0	0	723	0	0	0	0	0	50	0	0	0	0
baeS	baeS	mRNA	0	0	50	0	0	1404	0	0	1404	0	0	0	0	0	50	0	0	0	0
bamA	bamA	mRNA	0	0	50	0	0	2433	0	0	2433	0	0	0	0	0	50	0	0	0	0
bamB	bamB	mRNA	0	0	50	0	0	1179	0	0	1179	0	0	0	0	0	50	0	0	0	0
bamC	bamC	mRNA	0	0	50	0	0	1035	0	0	1035	0	0	0	1	0	50	0	0	0	1
bamD	bamD	mRNA	0	0	50	0	0	738	0	0	738	0	0	0	0	0	50	0	0	0	0
bamE	bamE	mRNA	0	0	50	0	0	342	0	0	342	0	0	0	0	0	50	0	0	0	0
barA	barA	mRNA	0	0	50	0	0	2757	0	0	2757	0	0	0	0	0	50	0	0	0	0
basR	basR	mRNA	0	0	50	0	0	669	0	0	669	0	0	0	0	0	50	0	0	0	0
basS	basS	mRNA	0	0	50	0	0	1092	0	0	1092	0	0	0	0	0	50	0	0	0	0
bax	bax	mRNA	0	0	50	0	0	825	0	0	825	0	0	0	0	0	50	0	0	0	0
bcp	bcp	mRNA	0	0	50	0	0	471	0	0	471	0	0	0	0	0	50	0	0	0	0
bcr	bcr	mRNA	0	0	50	1	0	1191	0	0	1191	0	0	0	0	0	50	0	1	0	0
bcsA	bcsA	mRNA	0	0	50	0	0	2619	0	0	2619	0	0	0	0	0	50	0	0	0	0
bcsB	bcsB	mRNA	0	0	50	0	0	2340	0	0	2340	0	0	0	0	0	50	0	0	0	0
bcsC	bcsC	mRNA	0	0	50	0	0	3474	0	0	3474	0	0	0	0	0	50	0	0	0	0
bcsE	bcsE	mRNA	0	0	50	0	0	1572	0	0	1572	0	0	0	0	0	50	0	0	0	0
bcsF	bcsF	mRNA	0	0	50	0	0	192	0	0	192	0	0	0	0	0	50	0	0	0	0
bcsG	bcsG	mRNA	0	0	50	0	0	1680	0	0	1680	0	0	0	0	0	50	0	0	0	0
bcsZ	bcsZ	mRNA	0	0	50	0	0	1107	0	0	1107	0	0	0	0	0	50	0	0	0	0
bdm	bdm	mRNA	0	0	50	0	0	216	0	0	216	0	0	0	0	0	50	0	0	0	0
betA	betA	mRNA	0	0	50	0	0	1671	0	0	1671	0	0	0	0	0	50	0	0	0	0
betB	betB	mRNA	0	0	50	0	0	1473	0	0	1473	0	0	0	0	0	50	0	0	0	0
betI	betI	mRNA	0	0	50	0	0	588	0	0	588	0	0	0	0	0	50	0	0	0	0
betT	betT	mRNA	0	0	50	0	0	2034	0	0	2034	0	0	0	0	0	50	0	0	0	0
bfd	bfd	mRNA	0	0	50	0	0	195	0	0	195	0	0	0	0	0	50	0	0	0	0
bfr	bfr	mRNA	0	0	50	0	0	477	0	0	477	0	0	0	0	0	50	0	0	0	0
bglA	bglA	mRNA	0	0	50	0	0	1440	0	0	1440	0	0	0	0	0	50	0	0	0	0
bglB	bglB	mRNA	0	0	50	0	0	1413	0	0	1413	0	0	0	0	0	50	0	0	0	0
